Institution,Country,Latitude,Longitude,CurrentRank,LastRank,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,anno,pca_1,pca_2,color
ASTON UNIVERSITY,United Kingdom,52.487144,-1.886977,442,381,L,CO,HI,4.0,A,10.9,501,41.9,226,13.2,601,35.7,379,97.3,112.0,54.4,270.0,26.0,2020,0.7705203619721953,1.553004804177482,blue
ATENEO DE MANILA UNIVERSITY,Philippines,14.662315,121.052513,650,700,M,FC,MD,5.0,B,18.4,453,30.7,313,35.1,446,0.0,0,0.0,0.0,0.0,0.0,20.2,2020,-1.1973451981259298,-1.4625457011861869,blue
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,Greece,37.989662708,23.725997096,1000,1000,M,FO,VH,4.0,A,0.0,0,36.9,255,0.0,0,20.9,544,0.0,0.0,0.0,0.0,14.1,2020,-2.4209377212752816,-0.3096009906393036,blue
AUBURN UNIVERSITY,United States,32.593357,-85.495163,1000,1000,L,CO,VH,5.0,A,0.0,0,0.0,0,0.0,0,22.3,520,0.0,0.0,16.3,578.0,14.1,2020,-2.629057641262909,-0.5294830252617375,blue
AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,-36.8533,174.7667,442,464,L,CO,HI,2.0,A,19.6,424,25.9,365,14.7,601,12.8,601,99.5,68.0,100.0,21.0,26.0,2020,0.496543491127598,3.389421887693467,blue
AUSTRALIAN CATHOLIC UNIVERSITY,Australia,-27.378,153.089,1000,1000,L,CO,HI,3.0,A,0.0,0,0.0,0,0.0,0,0.0,0,50.7,331.0,44.2,320.0,14.1,2020,-2.5393095112609494,1.7687860901492072,blue
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,-35.277988,149.120453,29,24,L,FC,VH,4.0,A,96.9,29,81.3,72,37.5,417,87.4,40,100.0,41.0,99.8,30.0,82.1,2020,5.634484054450683,1.2169437010635202,red
BABES-BOLYAI UNIVERSITY,Romania,46.767330264,23.587997648,1000,1000,XL,CO,HI,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,14.1,2020,-2.9905545529608086,-0.8346403965914893,blue
BAKU STATE UNIVERSITY,Azerbaijan,40.3777,49.892,1000,1000,L,FO,HI,5.0,A,0.0,0,0.0,0,44.8,337,0.0,0,0.0,0.0,0.0,0.0,14.1,2020,-2.6753166652176765,-1.183812587863455,blue
BANARAS HINDU UNIVERSITY,India,25.267878,82.990494,1000,1000,L,FC,HI,5.0,A,0.0,0,0.0,0,0.0,0,20.1,555,0.0,0.0,0.0,0.0,14.1,2020,-2.7734857533854376,-0.7951805260691593,blue
BANDUNG INSTITUTE OF TECHNOLOGY (ITB),Indonesia,-6.889852,107.609968,331,359,L,CO,VH,4.0,A,39.3,209,39.8,236,51.3,296,3.7,601,29.2,465.0,1.6,601.0,32.3,2020,0.5092476131091639,-0.9071429364580174,blue
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bangladesh,23.726996,90.392858,1000,1000,M,SP,HI,3.0,A,0.0,0,21.1,437,0.0,0,0.0,0,,0.0,0.0,0.0,14.1,2020,-2.697356362425372,0.813291134553482,blue
BANGOR UNIVERSITY,United Kingdom,53.2289,-4.1301,530,435,M,FC,HI,5.0,A,0.0,0,0.0,0,0.0,0,51.5,213,50.4,336.0,70.5,181.0,22.8,2020,-0.1421492539732066,0.8648260696104496,blue
BAR-ILAN UNIVERSITY,Israel,32.067333064,34.838829978,560,650,L,FC,HI,4.0,A,0.0,0,0.0,0,0.0,0,53.4,192,73.5,238.0,0.0,0.0,21.7,2020,-0.9141099305765208,0.7229685889045155,blue
BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,Russia,55.759496962,37.68416393,284,299,L,CO,HI,5.0,A,21.0,392,53.4,151,100.0,17,1.2,601,8.5,601.0,12.4,601.0,35.1,2020,0.9733215998555294,-1.96213495551232,blue
BAYLOR COLLEGE OF MEDICINE,United States,29.7105,-95.3965,1000,1000,S,SP,VH,5.0,B,0.0,0,0.0,0,100.0,1,17.5,599,,0.0,28.2,450.0,0.0,2020,-1.932524030798428,-0.4879839883872811,blue
BAYLOR UNIVERSITY,United States,31.55571,-97.12139,1000,1000,L,CO,VH,5.0,B,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,14.1,2020,-2.9905545529608086,-0.8346403965914893,blue
BEIHANG UNIVERSITY,China,39.97416277,116.33916531,462,491,L,CO,VH,4.0,A,15.5,501,6.0,501,31.8,477,55.8,174,10.1,601.0,6.2,601.0,25.2,2020,-0.3702582071043285,-0.5699891219001116,blue
BEIJING FOREIGN STUDIES UNIVERSITY,China,39.95249619,116.30249879,1000,800,M,SP,MD,4.0,A,0.0,0,0.0,0,40.7,377,0.0,0,23.6,515.0,28.6,445.0,14.1,2020,-2.202150078829704,0.1714207948246222,blue
BEIJING INSTITUTE OF TECHNOLOGY,China,39.916668,116.373331,436,464,L,FO,VH,4.0,A,20.9,396,7.0,501,35.1,445,47.9,249,5.0,601.0,8.1,601.0,26.4,2020,-0.2758631138599681,-0.7095683574284009,blue
BEIJING JIAOTONG UNIVERSITY,China,40.000333332,116.322332044,750,800,L,CO,VH,5.0,A,0.0,0,0.0,0,23.8,592,21.9,525,0.0,0.0,14.7,597.0,16.6,2020,-1.8804441599843555,-0.863695143173016,blue
BEIJING NORMAL UNIVERSITY,China,39.954329516,116.35749857,277,292,L,CO,VH,5.0,A,39.0,211,12.3,501,31.2,485,48.6,245,23.6,514.0,31.4,416.0,35.7,2020,1.01992231021432,-0.8186568260505923,blue
BEIJING UNIVERSITY OF TECHNOLOGY,China,39.869329856,116.473164774,750,800,L,CO,VH,4.0,A,0.0,0,0.0,0,40.9,375,18.6,575,0.0,0.0,0.0,0.0,16.6,2020,-2.012215239527197,-0.6791057014953389,blue
BEIRUT ARAB UNIVERSITY,Lebanon,33.8732722878,35.4969453475,1000,1000,M,FC,MD,4.0,B,0.0,0,0.0,0,0.0,0,0.0,0,82.0,209.0,41.7,334.0,14.1,2020,-2.2407152037916664,1.6467870710654648,blue
BELARUS STATE UNIVERSITY,Belarus,53.8989,27.5596,351,354,L,FO,HI,4.0,A,18.0,461,32.4,296,94.2,63,1.7,601,5.5,601.0,20.6,523.0,31.0,2020,0.3389689120558424,-1.160597573196207,blue
BELARUSIAN NATIONAL TECHNICAL UNIVERSITY,Belarus,53.91916299,27.588997644,1000,1000,L,SP,LO,4.0,A,0.0,0,26.6,351,36.5,429,0.0,0,0.0,0.0,0.0,0.0,14.1,2020,-2.515851835676248,-0.6138828071601968,blue
BEN GURION UNIVERSITY OF THE NEGEV,Israel,31.2573139707,34.800903463,419,407,L,FC,VH,4.0,A,16.4,499,19.1,483,18.2,601,53.3,195,70.1,250.0,21.3,511.0,27.4,2020,0.3923177683389578,0.6143912959896884,blue
BI NORWEGIAN BUSINESS SCHOOL,Norway,59.9425578964,10.7675319299,1000,1000,L,SP,VH,4.0,B,0.0,0,0.0,0,0.0,0,17.9,589,82.3,206.0,20.2,529.0,0.0,2020,-2.4982101883708,1.409961934875572,blue
BILKENT UNIVERSITY,Turkey,39.875275,32.748524,510,456,M,CO,VH,3.0,B,20.0,413,28.8,328,0.0,0,24.0,495,58.6,301.0,14.9,593.0,24.1,2020,-0.35396224538006,0.9900025526777666,blue
BINA NUSANTARA UNIVERSITY (BINUS),Indonesia,-6.2,106.816666,1000,1000,L,CO,MD,3.0,,0.0,0,0.0,0,24.9,581,0.0,0,17.6,580.0,0.0,0.0,14.1,2020,-2.9128273294947897,0.3602912247154289,blue
BINGHAMTON UNIVERSITY SUNY,United States,42.08925,-75.96989,1000,1000,L,CO,HI,4.0,A,0.0,0,0.0,0,0.0,0,22.8,510,0.0,0.0,28.3,448.0,14.1,2020,-2.6424551966758454,0.2239918904864009,blue
"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",United Kingdom,51.5219,-0.1303,328,306,M,FO,VH,5.0,A,14.4,501,5.3,501,22.8,601,60.0,143,96.1,121.0,96.9,64.0,32.6,2020,1.482231251509507,1.6074503148830146,blue
BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE,India,15.387831782,73.873163174,1000,1000,L,CO,HI,5.0,B,0.0,0,0.0,0,0.0,0,18.3,582,0.0,0.0,0.0,0.0,14.1,2020,-2.7929247503623365,-0.7987142458174278,blue
BIRMINGHAM CITY UNIVERSITY (BCU),United Kingdom,52.517,-1.8922,1000,1000,L,CO,MD,3.0,,0.0,0,0.0,0,0.0,0,0.0,0,36.4,420.0,68.0,194.0,14.1,2020,-2.4588170351791545,1.931975607016876,blue
BOGAZIÇI ÜNIVERSITESI,Turkey,41.083556,29.050598,700,580,L,CO,HI,5.0,A,19.0,439,42.0,224,0.0,0,19.8,560,0.0,0.0,0.0,0.0,18.4,2020,-1.038415700815373,-1.1907145327272686,blue
BOGOR AGRICULTURAL UNIVERSITY,Indonesia,-6.595038,106.816635,650,750,L,CO,HI,4.0,A,17.6,475,0.0,0,36.9,423,0.0,0,45.8,353.0,0.0,0.0,20.2,2020,-1.43261441557376,-0.1351560217387367,blue
BOND UNIVERSITY,Australia,-28.0711,153.4099,442,443,S,FC,HI,3.0,B,4.1,501,8.4,501,47.3,313,20.3,552,98.6,88.0,99.1,41.0,26.0,2020,0.4971316380525777,2.6776844078769835,blue
BOSTON COLLEGE,United States,42.334515,-71.168648,432,376,L,CO,HI,5.0,B,22.9,363,21.1,439,37.5,416,23.6,498,43.6,369.0,19.5,537.0,26.7,2020,0.2460594644384802,-0.630612896637816,blue
BOSTON UNIVERSITY,United States,42.3496,-71.0997,98,93,L,FC,VH,5.0,B,63.1,103,57.5,138,53.8,276,62.1,132,33.8,435.0,88.6,115.0,60.5,2020,3.678934338597141,-0.3360946531901586,red
BOURNEMOUTH UNIVERSITY,United Kingdom,50.718395,-1.883377,750,750,L,CO,HI,3.0,A,0.0,0,0.0,0,0.0,0,18.2,586,79.3,221.0,46.5,308.0,16.6,2020,-1.4770291476209951,2.142052571810864,blue
BRANDEIS UNIVERSITY,United States,42.3657,-71.2597,468,429,M,CO,VH,4.0,B,11.7,501,11.0,501,41.2,373,27.3,454,29.6,463.0,80.9,144.0,25.1,2020,0.1448724477278367,0.7916857995675837,blue
BRIGHAM YOUNG UNIVERSITY,United States,40.25,-111.65,800,1000,XL,CO,VH,5.0,B,0.0,0,0.0,0,0.0,0,42.8,303,0.0,0.0,0.0,0.0,15.1,2020,-2.263306713328068,-0.7988507671463606,blue
BRNO UNIVERSITY OF TECHNOLOGY,Czech Republic,49.2009241963,16.6021660913,700,700,L,FO,VH,5.0,A,0.0,0,33.1,290,0.0,0,0.0,0,0.0,0.0,62.1,222.0,18.4,2020,-1.309945581634988,-0.0768578881676826,blue
BROWN UNIVERSITY,United States,41.82682,-71.402931,57,56,M,FC,VH,5.0,B,61.9,110,58.2,134,81.1,139,86.6,41,86.0,189.0,56.0,261.0,71.5,2020,4.559022028449426,-0.2933632236355299,red
BRUNEL UNIVERSITY,United Kingdom,51.5263,-0.4703,359,332,L,CO,VH,4.0,A,11.6,501,14.6,501,15.4,601,56.6,167,99.3,73.0,97.7,57.0,30.5,2020,1.2751820209055849,2.300696710497709,blue
BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS,Hungary,47.475498098,19.05333312,1000,1000,L,FO,VH,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,15.3,590.0,14.1,2020,-2.877288241794755,-0.5892973779987938,blue
CAIRO UNIVERSITY,Egypt,30.0276,31.21014,530,530,XL,FC,VH,5.0,A,34.1,245,44.3,207,0.0,0,0.0,0,0.0,0.0,0.0,0.0,22.8,2020,-0.654662973572426,-1.3899458649406595,blue
CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),United States,34.138,-118.125,5,4,S,CO,VH,5.0,B,97.8,23,81.2,74,100.0,4,100.0,4,99.4,72.0,87.3,121.0,96.9,2020,6.594258172014207,-0.1022935302092544,red
CANTERBURY CHRIST CHURCH UNIVERSITY,United Kingdom,51.2745,1.0868,1000,1000,M,CO,HI,4.0,,0.0,0,0.0,0,0.0,0,0.0,0,34.1,434.0,25.4,477.0,14.1,2020,-2.6819446182034503,0.6536600952758604,blue
CARDIFF UNIVERSITY,United Kingdom,51.481583,-3.17909,154,145,L,FC,VH,5.0,A,48.6,160,38.3,249,52.5,289,37.9,348,79.1,222.0,69.8,184.0,49.0,2020,2.7653238051772937,0.2191413866714238,blue
CARLETON UNIVERSITY,Canada,45.3831,-75.6976,700,700,L,CO,VH,4.0,A,0.0,0,0.0,0,0.0,0,39.3,332,24.7,504.0,35.6,381.0,18.4,2020,-1.4290838554056202,0.5809794334734171,blue
CARNEGIE MELLON UNIVERSITY,United States,40.443322,-79.943583,48,46,L,FC,VH,5.0,B,75.2,73,77.5,83,43.5,352,94.3,24,83.6,201.0,99.9,25.0,74.8,2020,5.199591717860353,0.5480933309738218,red
CASE WESTERN RESERVE UNIVERSITY,United States,41.5042,-81.6085,167,186,M,FC,VH,5.0,B,19.9,415,17.1,501,92.0,74,65.8,116,53.7,317.0,73.9,171.0,47.8,2020,2.4558788046294544,-0.1338048869730545,blue
CENTRAL EUROPEAN UNIVERSITY,Hungary,47.497913,19.040236,1000,1000,S,FO,VH,3.0,B,18.9,440,0.0,0,93.4,68,37.5,354,100.0,27.0,100.0,4.0,0.0,2020,-0.7646085158332522,2.7261068850129075,blue
CENTRAL QUEENSLAND UNIVERSITY,Australia,-23.3175,150.5177,650,650,M,CO,HI,3.0,A,0.0,0,0.0,0,0.0,0,0.0,0,96.0,123.0,97.2,61.0,20.2,2020,-0.8694149608974207,3.107360521010968,blue
CENTRAL SOUTH UNIVERSITY,China,28.173,112.925,750,1000,XL,FC,VH,2.0,A,0.0,0,0.0,0,0.0,0,49.8,232,19.1,559.0,0.0,0.0,16.6,2020,-2.2904984055459323,1.168770617139185,blue
CENTRALESUPÉLEC,France,48.701801,2.1339,139,137,S,FO,VH,1.0,A,15.8,501,100.0,6,88.7,87,45.4,275,72.1,243.0,90.1,110.0,51.4,2020,3.1501987302552505,2.4475935059853944,red
CHALMERS UNIVERSITY OF TECHNOLOGY,Sweden,57.6863,11.9727,125,128,M,CO,VH,5.0,B,30.5,273,61.4,122,66.3,212,73.1,78,96.8,118.0,56.0,261.0,54.0,2020,3.449473320174721,0.2469886059272535,red
CHANG GUNG UNIVERSITY,Taiwan,25.055401,121.549599,484,429,M,FO,VH,3.0,B,3.8,501,4.5,501,59.3,245,50.2,227,3.7,601.0,8.1,601.0,24.5,2020,-0.5219228671924065,-0.2439708288547317,blue
CHARLES DARWIN UNIVERSITY,Australia,-12.3705,130.8835,700,700,M,CO,VH,2.0,A,0.0,0,0.0,0,0.0,0,33.5,397,50.2,337.0,94.5,85.0,18.4,2020,-1.100296471347258,3.023771248361571,blue
CHARLES UNIVERSITY,Czech Republic,50.0884,14.4037,291,317,XL,FC,VH,5.0,A,41.6,191,37.5,252,43.2,355,11.7,601,19.4,555.0,46.6,306.0,34.8,2020,1.0690128472120897,-0.856978643034573,blue
CHIANG MAI UNIVERSITY,Thailand,18.8026,98.9516,650,700,XL,FC,HI,4.0,A,29.8,286,22.4,416,0.0,0,0.0,0,0.0,0.0,0.0,0.0,20.2,2020,-1.4948110900167622,-0.674811868449633,blue
CHIBA UNIVERSITY,Japan,35.6253324987,140.091316301,442,464,L,FC,VH,5.0,A,14.6,501,4.9,501,79.8,145,14.7,601,8.5,601.0,6.1,601.0,26.0,2020,-0.332686193457839,-1.6194211378550387,blue
CHINA AGRICULTURAL UNIVERSITY,China,40.001499994,116.35166526,700,700,L,FC,VH,5.0,A,0.0,0,0.0,0,28.5,526,36.3,373,0.0,0.0,0.0,0.0,18.4,2020,-1.5821536273478287,-1.1553023266204183,blue
CHONBUK NATIONAL UNIVERSITY,South Korea,36.629,127.457,580,580,L,FC,HI,4.0,A,0.0,0,0.0,0,58.6,250,18.3,583,0.0,0.0,0.0,0.0,21.0,2020,-1.327714119829449,-0.9373477514477608,blue
CHONGQING UNIVERSITY,China,29.439325,106.887703,800,1000,XL,CO,VH,4.0,A,0.0,0,0.0,0,0.0,0,36.9,365,0.0,0.0,0.0,0.0,15.1,2020,-2.434657024919823,-0.2503660852164013,blue
CHONNAM NATIONAL UNIVERSITY,South Korea,35.166668,126.916664,750,700,L,FC,VH,4.0,A,0.0,0,0.0,0,35.9,434,22.6,513,0.0,0.0,0.0,0.0,16.6,2020,-1.884207382498225,-0.6602488904139867,blue
CHRISTIAN-ALBRECHTS-UNIVERSITÄT ZU KIEL,Germany,54.33666532,10.120166186,478,453,L,FC,VH,5.0,A,18.0,463,4.7,501,55.1,268,24.1,492,11.6,601.0,12.7,601.0,24.8,2020,-0.3462281393361233,-1.2631034435541493,blue
CHULALONGKORN UNIVERSITY,Thailand,13.7383,100.5324,247,271,XL,FC,HI,5.0,A,62.4,108,56.5,141,25.6,573,8.5,601,11.5,601.0,2.5,601.0,38.3,2020,1.235172785127254,-1.747412109924472,blue
CHUNG-ANG UNIVERSITY,South Korea,37.5326,127.024612,412,397,L,FC,HI,5.0,B,14.1,501,21.1,436,77.3,157,11.0,601,16.5,595.0,29.6,433.0,27.8,2020,0.1830635213419091,-1.1727358197049478,blue
CHUNGNAM NATIONAL UNIVERSITY,South Korea,36.351002,127.385002,750,750,L,FC,VH,4.0,A,0.0,0,0.0,0,37.4,418,0.0,0,0.0,0.0,0.0,0.0,16.6,2020,-2.177716391964821,-0.7023247331693496,blue
CITY UNIVERSITY OF HONG KONG,Hong Kong,22.3351853259,114.170459318,52,55,M,CO,VH,3.0,A,59.0,122,41.3,230,89.7,81,89.4,34,100.0,14.0,95.3,80.0,73.6,2020,4.622999055395046,1.6486465049231005,red
CITY UNIVERSITY OF NEW YORK,United States,40.8209339,-73.9529155,650,650,XL,CO,VH,5.0,A,29.7,287,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,20.2,2020,-1.602680148718986,-1.2021385935695523,blue
"CITY, UNIVERSITY OF LONDON",United Kingdom,51.5272532264037,-0.102795319321218,349,351,L,CO,VH,5.0,A,15.5,501,19.5,468,11.2,601,54.2,187,95.7,126.0,98.7,45.0,31.1,2020,1.4268204191981018,1.698276761104617,blue
CLARK UNIVERSITY,United States,42.251,-71.8232,540,461,S,CO,VH,5.0,B,0.0,0,0.0,0,43.1,356,37.8,350,0.0,0.0,64.8,209.0,22.3,2020,-0.4201353737898506,-0.3474741231234807,blue
CLARKSON UNIVERSITY,United States,44.6635,-74.9991,650,650,S,CO,VH,5.0,B,0.0,0,0.0,0,26.7,558,52.2,203,26.5,490.0,0.0,0.0,20.2,2020,-1.0872281734891935,-0.7387693439899765,blue
CLEMSON UNIVERSITY,United States,34.683437,-82.837364,750,750,L,CO,VH,5.0,A,0.0,0,24.0,391,0.0,0,26.3,468,0.0,0.0,0.0,0.0,16.6,2020,-1.7555388878989502,-0.9687330656524502,blue
COLLEGE OF WILLIAM & MARY,United States,37.2711,-76.7075,650,590,M,CO,VH,5.0,A,0.0,0,0.0,0,38.3,405,22.3,518,0.0,0.0,0.0,0.0,20.2,2020,-1.433857029629001,-1.309488145095052,blue
COLORADO STATE UNIVERSITY,United States,40.5749825,-105.0847257,442,450,L,CO,VH,5.0,A,18.2,458,20.8,445,46.0,323,26.7,461,30.9,451.0,8.5,601.0,26.0,2020,-0.0117671549610017,-1.008331196561571,blue
COLUMBIA UNIVERSITY,United States,40.8045,-73.9572,18,16,L,FC,VH,5.0,B,99.7,12,97.6,23,100.0,19,53.0,199,40.1,397.0,96.9,63.0,87.4,2020,5.759919445703463,-0.9386928878192576,red
COMENIUS UNIVERSITY IN BRATISLAVA,Slovakia,48.1524,17.0703,800,800,L,CO,VH,5.0,A,0.0,0,0.0,0,34.8,449,0.0,0,,0.0,16.5,575.0,15.1,2020,-1.868248328618186,-0.374165071229772,blue
COMSATS INSTITUTE OF INFORMATION TECHNOLOGY,Pakistan,33.651592,73.156456,1000,800,XL,CO,HI,2.0,A,0.0,0,0.0,0,26.1,569,0.0,0,0.0,0.0,0.0,0.0,14.1,2020,-2.8898153630651606,0.5862058956784936,blue
CONCORDIA UNIVERSITY,Canada,45.497406,-73.577102,462,464,XL,CO,VH,3.0,A,15.3,501,36.2,266,5.4,601,28.0,450,84.4,195.0,89.6,111.0,25.2,2020,0.5499354626302916,2.5449807504761472,blue
COPENHAGEN BUSINESS SCHOOL,Denmark,55.6756389,12.563413,1000,1000,L,SP,VH,5.0,A,0.0,0,20.8,444,0.0,0,43.8,289,87.4,181.0,69.4,186.0,0.0,2020,-1.4579837023988331,1.7247245230396515,blue
