Institution,Country,Latitude,Longitude,CurrentRank,LastRank,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,anno,pca_1,pca_2,color
AUBURN UNIVERSITY,United States,32.593357,-85.495163,701,701,L,CO,VH,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.469499116030215,-1.0049838607771897,blue
AUCKLAND UNIVERSITY OF TECHNOLOGY ,New Zealand,-36.8533,174.7667,450,490,L,CO,HI,2.0,A,0.0,0,0.0,0,14.2,401,9.4,401,99.0,64.0,99.2,33.0,27.6,2016,0.1754361746116066,3.744508693508924,blue
AUSTRALIAN CATHOLIC UNIVERSITY,Australia,-27.378,153.089,701,1000,L,CO,HI,3.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-3.133781129285892,1.2034027980108688,blue
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,-35.277988,149.120453,22,19,L,FC,VH,4.0,A,99.1,25,89.6,62,56.5,229,86.9,54,100.0,30.0,96.3,69.0,87.3,2016,5.759422094509272,0.9585936871736218,red
BABES-BOLYAI UNIVERSITY,Romania,46.767330264,23.587997648,701,701,XL,CO,HI,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.469499116030215,-1.0049838607771897,blue
BAKU STATE UNIVERSITY,Azerbaijan,40.3777,49.892,701,701,L,FO,MD,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.5906050965993344,0.0751428243862046,blue
BANARAS HINDU UNIVERSITY,India,25.267878,82.990494,701,701,L,FC,HI,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.469499116030215,-1.0049838607771897,blue
BANDUNG INSTITUTE OF TECHNOLOGY (ITB),Indonesia,-6.889852,107.609968,410,440,L,CO,HI,4.0,A,0.0,0,0.0,0,21.6,401,2.8,401,17.6,401.0,3.3,401.0,30.0,2016,-0.9654947729658496,0.227683425534602,blue
BANGOR UNIVERSITY,United Kingdom,53.2289,-4.1301,420,420,M,FC,HI,5.0,A,0.0,0,0.0,0,21.4,401,54.9,195,61.8,252.0,80.0,145.0,29.2,2016,0.754102908768404,0.0697129676968506,blue
BAR-ILAN UNIVERSITY,Israel,32.067333064,34.838829978,650,650,L,FC,HI,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.438474771660524,0.0666610003773809,blue
BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,Russia,55.759496962,37.68416393,306,338,L,CO,HI,5.0,A,26.3,401,50.4,222,100.0,15,1.1,401,1.4,401.0,9.9,401.0,36.3,2016,0.9575039325168389,-1.0694264266240927,blue
BAYLOR UNIVERSITY,United States,31.55571,-97.12139,701,701,L,CO,HI,5.0,B,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.469499116030215,-1.0049838607771897,blue
BEIHANG UNIVERSITY,China,39.97416277,116.33916531,440,381,XL,CO,VH,4.0,A,0.0,0,0.0,0,32.2,401,45.0,274,4.6,401.0,7.7,401.0,28.2,2016,-0.4969528094139771,0.1679472530207792,blue
BEIJING INSTITUTE OF TECHNOLOGY,China,39.916668,116.373331,389,410,L,FO,VH,4.0,A,33.3,310,31.5,383,31.0,401,37.7,329,7.3,401.0,5.3,401.0,30.8,2016,0.1957894984385229,-0.0332615910438483,blue
BEIJING JIAOTONG UNIVERSITY,China,40.000333332,116.322332044,701,1000,L,CO,VH,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.891569168147653,-0.95685057231592,blue
BEIJING NORMAL UNIVERSITY ,China,39.954329516,116.35749857,257,232,L,CO,VH,5.0,A,49.3,187,33.4,365,31.8,401,40.3,301,40.4,337.0,17.3,401.0,40.4,2016,1.518286752732925,-0.851664665632349,blue
