CurrentRank,LastRank,Institution,Country,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,Latitude,Longitude,anno,pca_1,pca_2,color
1,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT) ,United States,M,CO,VH,5.0,B,100.0,6,100.0,4,100.0,14,99.9,8.0,100.0,36.0,96.1,70.0,100.0,42.358984,-71.0935805,2018,6.83722319072967,-0.1413561897628126,red
2,2,STANFORD UNIVERSITY,United States,L,FC,VH,5.0,B,100.0,5,100.0,5,100.0,12,99.4,12.0,99.6,54.0,72.7,177.0,98.7,37.424892,-122.168986,2018,6.587361568589924,-0.2890269852503253,red
3,3,HARVARD UNIVERSITY,United States,L,FC,VH,5.0,B,100.0,1,100.0,3,98.3,38,99.9,9.0,96.5,103.0,75.2,165.0,98.4,42.3737614375,-71.1181085,2018,6.568412299594137,-0.298677501365669,red
4,5,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),United States,S,CO,VH,5.0,B,99.5,22,85.4,77,100.0,3,100.0,4.0,93.4,126.0,89.2,106.0,97.7,34.138,-118.125,2018,6.514710663863728,-0.1930320619914949,red
5,4,UNIVERSITY OF CAMBRIDGE,United Kingdom,L,FC,VH,5.0,A,100.0,2,100.0,1,100.0,10,78.3,75.0,97.4,87.0,97.7,57.0,95.6,52.186507,0.136473,2018,6.529121716870253,-0.1454052338386578,red
6,6,UNIVERSITY OF OXFORD,United Kingdom,L,FC,VH,5.0,A,100.0,4,100.0,2,100.0,6,76.3,81.0,98.6,68.0,98.5,50.0,95.3,51.750847500000006,-1.2477805,2018,6.517496125179648,-0.1318281823910212,red
7,7,UCL (UNIVERSITY COLLEGE LONDON),United Kingdom,XL,FC,VH,5.0,A,99.7,16,99.5,18,99.1,35,74.7,88.0,96.6,102.0,100.0,20.0,94.6,43.008429,-81.27368,2018,6.468774338749278,-0.1357152524837064,red
8,9,IMPERIAL COLLEGE LONDON,United Kingdom,L,FC,VH,5.0,A,99.4,23,100.0,8,100.0,18,68.7,117.0,100.0,42.0,100.0,12.0,93.7,51.4985565,-0.1769325,2018,6.427057570632548,-0.1094498288694087,red
9,10,UNIVERSITY OF CHICAGO,United States,L,FC,VH,5.0,B,99.9,13,92.9,55,96.5,52,85.9,48.0,71.9,218.0,79.8,149.0,93.5,41.789889,-87.604687,2018,6.075563840588797,-0.4215618148393367,red
10,8,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),Switzerland,L,CO,VH,5.0,A,99.6,21,99.4,23,68.2,178,98.7,17.0,100.0,14.0,98.8,47.0,93.3,46.520378,6.565148000000001,2018,6.4477510558560525,-0.1991324703429102,red
